"","FNR","FPR","FR","CNZ","INZ","MCC","FDR","BETA_MSE","BETA_BIAS","ACCURACY_val","AUC_val","loglike_val"
"Original","0.862(0.124)","0.042(0.047)","0.904(0.096)","2.070(1.865)","2.740(3.077)","0.183(0.128)","0.531(0.260)","0.018(0.003)","3.725(0.355)","0.729(0.068)","0.594(0.071)","-0.664(0.803)"
"prior1","0.501(0.215)","0.122(0.080)","0.623(0.167)","7.490(3.221)","7.930(5.168)","0.385(0.130)","0.468(0.182)","0.010(0.004)","2.527(0.716)","0.739(0.017)","0.683(0.048)","-0.540(0.022)"
"prior2","0.533(0.209)","0.069(0.064)","0.601(0.193)","7.010(3.138)","4.470(4.155)","0.460(0.156)","0.332(0.178)","0.012(0.003)","2.865(0.437)","0.745(0.015)","0.684(0.038)","-0.539(0.029)"
"prior3","0.679(0.216)","0.079(0.074)","0.758(0.175)","4.820(3.239)","5.130(4.826)","0.312(0.161)","0.464(0.232)","0.016(0.003)","3.515(0.399)","0.721(0.067)","0.623(0.060)","-0.646(0.758)"
"Our Method","0.374(0.208)","0.094(0.073)","0.468(0.191)","9.390(3.117)","6.080(4.728)","0.545(0.152)","0.343(0.172)","0.008(0.003)","2.416(0.562)","0.746(0.017)","0.703(0.035)","-0.529(0.020)"
