"","FNR","FPR","FR","CNZ","INZ","MCC","FDR","BETA_MSE","BETA_BIAS","ACCURACY_val","AUC_val","loglike_val"
"Original","0.878(0.104)","0.054(0.062)","0.932(0.092)","1.825(1.555)","2.412(2.772)","0.139(0.152)","0.490(0.319)","0.027(0.008)","3.925(0.357)","0.737(0.021)","0.583(0.062)","-0.618(0.298)"
"prior1","0.638(0.179)","0.107(0.101)","0.745(0.186)","5.423(2.680)","4.814(4.531)","0.315(0.204)","0.398(0.250)","0.020(0.011)","3.147(0.757)","0.735(0.022)","0.656(0.055)","-0.584(0.269)"
"prior2","0.659(0.182)","0.103(0.091)","0.762(0.172)","5.113(2.727)","4.629(4.109)","0.302(0.190)","0.384(0.266)","0.020(0.010)","3.168(0.724)","0.737(0.022)","0.661(0.052)","-0.554(0.038)"
"prior3","0.608(0.173)","0.125(0.118)","0.733(0.167)","5.876(2.595)","5.629(5.314)","0.319(0.186)","0.407(0.242)","0.020(0.016)","3.069(0.808)","0.735(0.026)","0.671(0.048)","-0.556(0.054)"
"Our Method","0.590(0.162)","0.118(0.095)","0.708(0.181)","6.155(2.430)","5.309(4.295)","0.340(0.202)","0.404(0.240)","0.018(0.010)","2.944(0.687)","0.739(0.022)","0.675(0.051)","-0.546(0.038)"
