"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.07368,0.07368,0,0.07368,0,0.07368,0,0.07368,0,0,0
"2",0.07368,0.07368,0,0.07368,0,0.07368,0,0.07368,0,0,0
"3",0.10278,0.10278,0.176470588235294,0.10278,0.176470588235294,0.10278,0.176470588235294,0.10278,0.0730219334821304,0.0479397581983032,0.0555088965548606
"4",0.14337,0.03786,0.818181818181818,0.07368,0.176470588235294,0.05282,0.428571428571429,0.01946,0.457597414311574,0.144785194641011,0.215799209229234
"5",0.07368,0.07368,0,0.07368,0,0.07368,0.176470588235294,0.07368,0,0,0
"6",0.10278,0.10278,0,0.10278,0,0.07368,0.176470588235294,0.07368,0.0467168894524688,0.0835682391924842,0.0461854595903412
"7",0.10278,0.10278,0,0.10278,0,0.07368,0.176470588235294,0.07368,0.0574283763755056,0.0487899490642398,0.0702522627955487
"8",0.14337,0.02714,0.428571428571429,0.14337,0,0.14337,0,0.02714,0.253795492407033,0.0522122795150779,0.122563656649318
"9",0.07368,0.07368,0,0.07368,0,0.05282,0.176470588235294,0.05282,0.10854310224475,0.0272196971334809,0.0407077888570636
"10",0.10278,0.05282,0.428571428571429,0.10278,0,0.10278,0,0.07368,0.10218700020419,0.0260514001332558,0.0482321878978481
"11",0.10278,0.10278,0,0.10278,0,0.10278,0.176470588235294,0.10278,0,0,0
"12",0.2,0.2,0,0.2,0,0.2,0,0.2,0,0,0
"13",0.07368,0.07368,0,0.07368,0,0.07368,0,0.07368,0,0,0
"14",0.10278,0.10278,0,0.10278,0,0.10278,0,0.10278,0,0,0
"15",0.10278,0.10278,1.5,0.10278,0,0.10278,0,0.01,0.480481571920014,0.0875706303266481,0.250129615935156
"16",0.10278,0.14337,8.99999999999999,0.10278,0,0.03786,0.428571428571429,0.10278,0.0792430343697018,0.0420322962761386,0.0551952575894538
"17",0.10278,0.10278,1.5,0.10278,0,0.05282,0.818181818181818,0.05282,0.432043167418874,0.113826922437729,0.272311728325215
"18",0.10278,0.14337,8.99999999999999,0.02714,0.428571428571429,0.03786,0.428571428571429,0.02714,0.143984802687014,0.121630084673811,0.162956541210604
"19",0.2,0.07368,0.428571428571429,0.2,0,0.2,0,0.2,0,0,0
"20",0.14337,0.14337,0,0.14337,0,0.14337,0,0.14337,0,0,0
"21",0.10278,0.10278,0.176470588235294,0.10278,0,0.10278,0.176470588235294,0.10278,0.0969885518002151,0.0271573295675119,0.0523247068675671
"22",0.14337,0.03786,0.818181818181818,0.14337,0,0.14337,0,0.02714,0.355849419786574,0.125974132065317,0.336358266329927
"23",0.07368,0.05282,0.176470588235294,0.07368,0,0.07368,0,0.03786,0.226469682384773,0.0812019302848399,0.120899815901816
"24",0.07368,0.05282,0.176470588235294,0.07368,0,0.07368,0,0.07368,0,0,0
"25",0.10278,0.10278,0,0.07368,0.176470588235294,0.10278,0,0.10278,0,0,0
"26",0.07368,0.07368,0.176470588235294,0.07368,0,0.07368,0,0.05282,0.0723824758113099,0.0430496972472116,0.0610384151767727
"27",0.07368,0.07368,0,0.07368,0,0.07368,0,0.07368,0,0,0
"28",0.07368,0.07368,0.176470588235294,0.07368,0.176470588235294,0.07368,0,0.07368,0.0898038057876524,0.0259550620408472,0.0607117204067945
"29",0.10278,0.10278,0.176470588235294,0.10278,0,0.10278,0.176470588235294,0.10278,0,0,0
"30",0.14337,0.10278,1.5,0.05282,0.428571428571429,0.14337,0,0.07368,0.181198545879658,0.110942292306011,0.13643059038576
