"","FNR","FPR","FR","CNZ","INZ","MCC","FDR","BETA_MSE","BETA_BIAS","ACCURACY_val","AUC_val","loglike_val"
"Original","0.885(0.105)","0.046(0.047)","0.931(0.088)","1.730(1.575)","2.090(2.137)","0.148(0.136)","0.484(0.285)","0.026(0.011)","3.851(0.356)","0.733(0.048)","0.583(0.064)","-0.603(0.268)"
"prior1","0.560(0.209)","0.152(0.089)","0.712(0.167)","6.600(3.140)","6.860(4.023)","0.313(0.139)","0.475(0.158)","0.016(0.008)","2.759(0.737)","0.734(0.017)","0.666(0.052)","-0.552(0.026)"
"prior2","0.563(0.226)","0.117(0.090)","0.680(0.209)","6.550(3.397)","5.270(4.070)","0.366(0.194)","0.392(0.218)","0.019(0.008)","3.021(0.517)","0.742(0.016)","0.670(0.044)","-0.550(0.033)"
"prior3","0.441(0.103)","0.053(0.051)","0.494(0.109)","8.390(1.550)","2.380(2.308)","0.578(0.110)","0.202(0.116)","0.046(0.025)","4.647(1.150)","0.712(0.031)","0.636(0.041)","-0.636(0.074)"
"prior4","0.443(0.108)","0.071(0.071)","0.515(0.129)","8.350(1.623)","3.210(3.185)","0.545(0.135)","0.247(0.135)","0.046(0.026)","4.691(1.155)","0.690(0.037)","0.611(0.036)","-0.655(0.078)"
"Our Method","0.362(0.127)","0.118(0.057)","0.480(0.144)","9.570(1.898)","5.330(2.578)","0.526(0.141)","0.345(0.123)","0.012(0.005)","2.463(0.483)","0.742(0.018)","0.697(0.027)","-0.533(0.024)"
