"","FNR","FPR","FR","CNZ","INZ","MCC","FDR","BETA_MSE","BETA_BIAS","ACCURACY_val","AUC_val","loglike_val"
"Original","0.842(0.111)","0.048(0.053)","0.890(0.093)","2.370(1.668)","3.100(3.448)","0.201(0.124)","0.499(0.223)","0.019(0.016)","3.767(0.475)","0.733(0.048)","0.603(0.066)","-0.649(0.774)"
"prior1","0.657(0.103)","0.041(0.047)","0.698(0.101)","5.140(1.538)","2.640(3.037)","0.415(0.120)","0.275(0.183)","0.018(0.005)","3.689(0.510)","0.728(0.023)","0.642(0.036)","-0.574(0.031)"
"prior2","0.655(0.106)","0.049(0.058)","0.704(0.106)","5.180(1.585)","3.190(3.757)","0.399(0.130)","0.311(0.187)","0.021(0.006)","3.967(0.583)","0.715(0.027)","0.598(0.050)","-0.594(0.036)"
"prior3","0.631(0.091)","0.038(0.039)","0.669(0.088)","5.540(1.366)","2.460(2.508)","0.443(0.104)","0.263(0.159)","0.018(0.005)","3.532(0.482)","0.717(0.027)","0.630(0.046)","-0.582(0.037)"
"Our Method","0.545(0.117)","0.059(0.051)","0.604(0.124)","6.830(1.753)","3.840(3.308)","0.470(0.141)","0.314(0.182)","0.015(0.003)","3.432(0.431)","0.734(0.017)","0.641(0.048)","-0.561(0.023)"
