"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"47",0.07368,0.01395,1.5,0.01395,0.818181818181818,0.01,8.99999999999999,0.01395,8.99999999999999,0.01,0.797463930691393,0.764284020408186,0.715083337269695,0.723168711630727
"48",0.07368,0.01,3,0.01946,0.818181818181818,0.01,8.99999999999999,0.01,8.99999999999999,0.01,0.397867506523622,0.398892890198694,0.358013362910742,0.345226240366942
"49",0.05282,0.01946,0.818181818181818,0.02714,8.99999999999999,0.01,8.99999999999999,0.01,8.99999999999999,0.01,2.34062594938789,2.38394866947061,2.22946194903728,2.04596343210422
"50",0.10278,0.02714,8.99999999999999,0.01395,3,0.01,8.99999999999999,0.01,8.99999999999999,0.01,2.36106409394939,2.47914584256032,2.19803711181268,1.96175295167761
"51",0.07368,0.07368,0,0.02714,8.99999999999999,0.01,8.99999999999999,0.01,8.99999999999999,0.01,0.373359745282896,0.372761555549639,0.379802519165774,0.374076180001691
"52",0.05282,0.01946,3,0.01,0.818181818181818,0.01,8.99999999999999,0.01,8.99999999999999,0.01,2.36206211113979,2.30531817192956,2.11800391978009,2.21461579715056
"53",0.05282,0.01946,0.818181818181818,0.01946,0.818181818181818,0.01,8.99999999999999,0.01,8.99999999999999,0.01,2.31827792071312,2.39963414025213,2.16888860128074,2.113199337754
"54",0.05282,0.01395,0.818181818181818,0.01946,0.818181818181818,0.01,1.5,0.01,8.99999999999999,0.01,0.375283385522688,0.378353655697179,0.388325252347051,0.358037706433082
"55",0.05282,0.05282,0.176470588235294,0.01946,0.818181818181818,0.01,3,0.01,8.99999999999999,0.01,2.29572931630715,2.34300833031064,2.23617704722762,2.12508530615458
"56",0.05282,0.01946,0.428571428571429,0.01946,0.818181818181818,0.01,1.5,0.01,8.99999999999999,0.01395,0.208534217302853,0.212253363772044,0.2030083123506,0.19438592475632
"57",0.05282,0.01,1.5,0.01395,1.5,0.01,8.99999999999999,0.01,1.5,0.01,2.31580855769916,2.28964535350254,2.19508043793324,2.19946565086505
"58",0.07368,0.07368,0.176470588235294,0.01946,0.818181818181818,0.01,3,0.01,8.99999999999999,0.01,2.17987957882896,2.28467548582683,2.21161353428623,2.32383140105798
"59",0.07368,0.05282,0.176470588235294,0.05282,0.176470588235294,0.01,8.99999999999999,0.01,3,0.01,0.396539170236275,0.35874377768098,0.377605208333981,0.367111843748764
"60",0.10278,0.01395,8.99999999999999,0.01395,8.99999999999999,0.01,8.99999999999999,0.01946,8.99999999999999,0.01,2.41787172667925,2.35160208897171,2.18312194927865,2.04740423507038
"61",0.07368,0.05282,0.428571428571429,0.05282,3,0.01,8.99999999999999,0.01,8.99999999999999,0.01,2.33619615566479,2.35856964899271,2.21730926623135,2.08792492911113
