"","FNR","FPR","FR","CNZ","INZ","MCC","FDR","BETA_MSE","BETA_BIAS","ACCURACY_val","AUC_val","loglike_val"
"Original","0.862(0.124)","0.042(0.047)","0.904(0.096)","2.070(1.865)","2.740(3.077)","0.183(0.128)","0.531(0.260)","0.018(0.003)","3.725(0.355)","0.729(0.068)","0.594(0.071)","-0.664(0.803)"
"prior1","0.501(0.215)","0.122(0.080)","0.623(0.167)","7.490(3.221)","7.930(5.168)","0.385(0.130)","0.468(0.182)","0.010(0.004)","2.527(0.716)","0.739(0.017)","0.683(0.048)","-0.540(0.022)"
"prior2","0.533(0.209)","0.069(0.064)","0.601(0.193)","7.010(3.138)","4.470(4.155)","0.460(0.156)","0.332(0.178)","0.012(0.003)","2.865(0.437)","0.745(0.015)","0.684(0.038)","-0.539(0.029)"
"prior3","0.431(0.087)","0.040(0.037)","0.472(0.092)","8.530(1.298)","2.620(2.373)","0.603(0.099)","0.212(0.124)","0.021(0.009)","3.698(0.749)","0.729(0.020)","0.653(0.042)","-0.579(0.036)"
"prior4","0.417(0.091)","0.036(0.030)","0.453(0.089)","8.740(1.360)","2.320(1.959)","0.623(0.080)","0.195(0.092)","0.021(0.008)","3.751(0.744)","0.706(0.030)","0.621(0.046)","-0.603(0.041)"
"Our Method","0.324(0.109)","0.070(0.043)","0.394(0.111)","10.140(1.639)","4.540(2.783)","0.618(0.102)","0.292(0.106)","0.007(0.002)","2.311(0.326)","0.749(0.014)","0.707(0.022)","-0.524(0.015)"
