"","FNR","FPR","FR","CNZ","INZ","MCC","FDR","BETA_MSE","BETA_BIAS","ACCURACY_val","AUC_val","loglike_val"
"Original","0.885(0.105)","0.046(0.047)","0.931(0.088)","1.730(1.575)","2.090(2.137)","0.148(0.136)","0.484(0.285)","0.026(0.011)","3.851(0.356)","0.733(0.048)","0.583(0.064)","-0.603(0.268)"
"prior1","0.560(0.209)","0.152(0.089)","0.712(0.167)","6.600(3.140)","6.860(4.023)","0.313(0.139)","0.475(0.158)","0.016(0.008)","2.759(0.737)","0.734(0.017)","0.666(0.052)","-0.552(0.026)"
"prior2","0.563(0.226)","0.117(0.090)","0.680(0.209)","6.550(3.397)","5.270(4.070)","0.366(0.194)","0.392(0.218)","0.019(0.008)","3.021(0.517)","0.742(0.016)","0.670(0.044)","-0.550(0.033)"
"prior3","0.709(0.217)","0.106(0.094)","0.814(0.168)","4.370(3.262)","4.750(4.210)","0.247(0.172)","0.477(0.239)","0.026(0.011)","3.680(0.456)","0.720(0.029)","0.614(0.059)","-0.584(0.041)"
"Our Method","0.480(0.239)","0.122(0.085)","0.602(0.232)","7.800(3.579)","5.490(3.847)","0.431(0.217)","0.385(0.204)","0.015(0.009)","2.697(0.712)","0.738(0.021)","0.685(0.048)","-0.543(0.035)"
