"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.10278,0.07368,0.818181818181818,0.01946,0.818181818181818,0.02714,0.818181818181818,0.01,0.493428703911715,0.501467470181757,0.505103825906527
"2",0.10278,0.10278,0,0.01,8.99999999999999,0.01,8.99999999999999,0.01,2.88642923656751,3.0048185625211,3.10875220091138
"3",0.10278,0.03786,0.818181818181818,0.01946,1.5,0.02714,1.5,0.01946,0.48077123258378,0.500567320734233,0.518661446681987
"4",0.10278,0.01,1.5,0.05282,1.5,0.10278,8.99999999999999,0.01,0.511940312006272,0.494715906243104,0.493343781750624
"5",0.14337,0.01,3,0.01,3,0.01946,0.818181818181818,0.01395,0.516188325213413,0.50748521084003,0.476326463946556
"6",0.10278,0.02714,1.5,0.01395,1.5,0.01,3,0.01,0.983350468318031,1.00485473120193,1.01179480048004
"7",0.07368,0.02714,1.5,0.01395,8.99999999999999,0.03786,8.99999999999999,0.01395,2.93752700994831,3.06179050611923,3.00068248393245
"8",0.10278,0.01,1.5,0.01,3,0.02714,0.818181818181818,0.01395,0.487990243997504,0.521723610939106,0.49028614506339
"9",0.07368,0.03786,3,0.01395,8.99999999999999,0.01,1.5,0.01,0.488662535332679,0.499321383213524,0.512016081453797
"10",0.14337,0.03786,8.99999999999999,0.03786,8.99999999999999,0.05282,0.818181818181818,0.03786,2.97794583892773,3.02886674746937,2.99318741360289
"11",0.10278,0.03786,3,0.05282,8.99999999999999,0.05282,3,0.03786,3.11930926070027,2.92841786812912,2.95227287117061
"12",0.10278,0.01,8.99999999999999,0.01,1.5,0.01,3,0.01,3.02032038901099,3.03778925746334,2.94189035352566
"13",0.10278,0.01946,0.818181818181818,0.01,1.5,0.01395,1.5,0.01946,0.266290990506602,0.27579241116486,0.276098416510356
"14",0.05282,0.02714,0.428571428571429,0.02714,0.428571428571429,0.02714,0.428571428571429,0.02714,0.137199184080013,0.145020431218799,0.146351813272616
"15",0.2,0.01395,1.5,0.02714,8.99999999999999,0.01,3,0.01,1.02002560508836,0.990546979555259,0.989427415356383
"16",0.10278,0.01,8.99999999999999,0.01,1.5,0.01,3,0.01,3.01786915306039,3.00764139702738,2.97448944991222
"17",0.07368,0.01395,1.5,0.01395,1.5,0.01,3,0.01,2.95595148153171,3.00684978085329,3.03719873761499
"18",0.10278,0.02714,8.99999999999999,0.02714,8.99999999999999,0.03786,0.818181818181818,0.02714,3.03396917114017,3.00190041120472,2.9641304176551
"19",0.07368,0.01,1.5,0.01,1.5,0.01395,8.99999999999999,0.01,2.94010711274631,3.00733995357478,3.0525529336789
"20",0.05282,0.01,1.5,0.01395,0.818181818181818,0.01,1.5,0.01,0.509379438075941,0.472725453932567,0.517895107991492
"21",0.05282,0.01395,0.818181818181818,0.01,0.818181818181818,0.01395,0.818181818181818,0.01395,0.275376636944813,0.2721853231196,0.270619858117406
"22",0.07368,0.01946,3,0.01395,1.5,0.01946,0.818181818181818,0.01946,0.271444873735292,0.275604617005611,0.271132327440915
"23",0.07368,0.01946,3,0.01,0.818181818181818,0.01,0.818181818181818,0.01,0.269219194689222,0.276522914591572,0.272439708901024
"24",0.10278,0.01946,8.99999999999999,0.01946,1.5,0.01,8.99999999999999,0.01,3.00219962823553,2.90850305141157,3.08929732035289
"25",0.05282,0.02714,0.428571428571429,0.01,8.99999999999999,0.01395,8.99999999999999,0.01,2.88960273900975,3.06323042484396,3.04716683614629
"26",0.05282,0.01,0.818181818181818,0.01395,0.818181818181818,0.01,8.99999999999999,0.01,0.274412453032181,0.2737533505895,0.270016014560137
"27",0.14337,0.02714,0.818181818181818,0.01395,0.818181818181818,0.01946,0.818181818181818,0.01946,0.265349489951772,0.279861283165866,0.27297104506418
"28",0.2,0.02714,3,0.02714,8.99999999999999,0.01395,8.99999999999999,0.01,2.9819635709028,2.96610847514804,3.05192795394915
"29",0.07368,0.01,0.818181818181818,0.01,1.5,0.05282,0.176470588235294,0.01,0.50518278941435,0.510721869309144,0.484095341276505
"30",0.10278,0.01946,1.5,0.01,3,0.01,0.818181818181818,0.01,1.02549332427368,1.00846809950556,0.966038576220756
