"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.12619,0.02,8.99999999999999,0.02,8.99999999999999,0.02,8.99999999999999,0.02,3.08662438900568,2.77742302777106,3.13595258322325
"2",0.07962,0.02,8.99999999999999,0.02,3,0.02,8.99999999999999,0.02,3.12304174327398,2.99143771151788,2.88552054520813
"3",0.07962,0.02,8.99999999999999,0.02,8.99999999999999,0.02,8.99999999999999,0.02,3.01449645458977,3.01716771881542,2.9683358265948
"4",0.07962,0.02,1.5,0.02,8.99999999999999,0.02,8.99999999999999,0.02,0.500347834695332,0.50456825095769,0.495083914346978
"5",0.07962,0.02,0.818181818181818,0.02,3,0.02,3,0.02,0.500492908162683,0.496279800891979,0.503227290945337
"6",0.07962,0.02,1.5,0.02,8.99999999999999,0.02,8.99999999999999,0.02,3.05204495946678,3.01704259297415,2.93091244755907
"7",0.05024,0.02,8.99999999999999,0.02,0.818181818181818,0.02,0.818181818181818,0.02,0.278579449213627,0.252285457355419,0.287316911612772
"8",0.07962,0.02,8.99999999999999,0.02,8.99999999999999,0.02,8.99999999999999,0.02,0.511066310591938,0.501764257301734,0.487169432106329
"9",0.2,0.02,8.99999999999999,0.02,8.99999999999999,0.02,8.99999999999999,0.02,0.500963077788665,0.494978211206364,0.504058711004971
"10",0.05024,0.02,0.818181818181818,0.02,0.818181818181818,0.02,0.818181818181818,0.02,0.281397845071887,0.260248193968221,0.27653577914171
"11",0.07962,0.02,8.99999999999999,0.02,0.428571428571429,0.02,8.99999999999999,0.02,1.01219242041586,0.967174423221233,1.02063315636291
"12",0.12619,0.02,8.99999999999999,0.02,8.99999999999999,0.02,8.99999999999999,0.02,0.517267341114564,0.468662580911714,0.514070077973722
"13",0.07962,0.02,8.99999999999999,0.02,8.99999999999999,0.02,8.99999999999999,0.02,3.02224804352916,2.9898716552825,2.98788030118833
"14",0.07962,0.02,8.99999999999999,0.02,8.99999999999999,0.02,8.99999999999999,0.02,0.983714179030153,0.999927996345021,1.01635782462483
"15",0.07962,0.02,1.5,0.02,8.99999999999999,0.02,8.99999999999999,0.02,0.52817515602468,0.488998445651567,0.482826398323753
"16",0.05024,0.02,8.99999999999999,0.02,0.818181818181818,0.02,1.5,0.02,0.268803440017067,0.280188991848546,0.269189386316206
"17",0.07962,0.02,8.99999999999999,0.02,8.99999999999999,0.02,8.99999999999999,0.02,1.04387980185585,0.980278803236535,0.975841394907613
"18",0.05024,0.02,0.428571428571429,0.02,0.428571428571429,0.02,0.818181818181818,0.02,0.267678027221261,0.264868186019583,0.285635604940974
"19",0.07962,0.02,1.5,0.0317,0.818181818181818,0.02,8.99999999999999,0.02,0.283810049868089,0.258178705206983,0.276193063106746
"20",0.07962,0.02,8.99999999999999,0.02,0.818181818181818,0.02,8.99999999999999,0.02,0.512108673550872,0.503070811951219,0.484820514497908
"21",0.07962,0.02,8.99999999999999,0.02,8.99999999999999,0.02,1.5,0.02,0.549147876768443,0.471490349240916,0.479361773990641
"22",0.07962,0.02,1.5,0.02,0.818181818181818,0.02,0.818181818181818,0.02,0.287566029667296,0.265335048466728,0.265280740047794
"23",0.07962,0.02,8.99999999999999,0.02,0.428571428571429,0.02,8.99999999999999,0.02,3.08264514845733,2.88182203839897,3.0355328131437
"24",0.2,0.02,8.99999999999999,0.02,8.99999999999999,0.02,8.99999999999999,0.02,2.96980367240873,3.02908743256194,3.00110889502931
"25",0.12619,0.02,8.99999999999999,0.02,8.99999999999999,0.02,8.99999999999999,0.02,0.509291528729074,0.500151340728549,0.490557130542377
"26",0.07962,0.02,8.99999999999999,0.02,8.99999999999999,0.02,8.99999999999999,0.02,0.516311051910789,0.523255519795709,0.460433428293501
"27",0.07962,0.02,8.99999999999999,0.02,1.5,0.02,8.99999999999999,0.02,0.506922772211859,0.49296823945844,0.500108988329701
"28",0.07962,0.02,0.818181818181818,0.02,8.99999999999999,0.02,8.99999999999999,0.02,0.501049275831515,0.507118934770537,0.491831789397948
"29",0.07962,0.02,0.818181818181818,0.02,8.99999999999999,0.02,8.99999999999999,0.02,0.487075628217821,0.499399452101579,0.5135249196806
"30",0.07962,0.02,8.99999999999999,0.02,0.818181818181818,0.02,1.5,0.02,0.512800464975108,0.490794844689729,0.496404690335162
"31",0.05024,0.02,0.818181818181818,0.02,3,0.02,1.5,0.02,1.00968893463747,0.984371844491268,1.00593922087126
"32",0.07962,0.02,1.5,0.02,8.99999999999999,0.02,8.99999999999999,0.02,0.496699398665602,0.486153666679446,0.517146934654952
"33",0.07962,0.02,8.99999999999999,0.02,1.5,0.02,8.99999999999999,0.02,0.552963730884124,0.476355239612917,0.470681029502959
"34",0.07962,0.02,0.818181818181818,0.02,0.818181818181818,0.02,8.99999999999999,0.02,0.263749235036255,0.276270633076125,0.278161950069439
"35",0.2,0.02,8.99999999999999,0.02,8.99999999999999,0.02,1.5,0.02,0.274459779964869,0.267309140104244,0.276412898112705
"36",0.05024,0.02,8.99999999999999,0.02,0.818181818181818,0.02,1.5,0.02,0.272287524060167,0.263706375056352,0.282187919065299
"37",0.2,0.02,8.99999999999999,0.02,8.99999999999999,0.02,8.99999999999999,0.02,0.485884188135937,0.509800192153516,0.504315619710547
"38",0.07962,0.02,8.99999999999999,0.02,3,0.02,1.5,0.02,0.52046327991013,0.494895945559802,0.484640774530068
"39",0.07962,0.02,8.99999999999999,0.0317,8.99999999999999,0.02,0.818181818181818,0.02,0.524237777603478,0.473902832245504,0.501859390151018
"40",0.07962,0.02,8.99999999999999,0.02,8.99999999999999,0.02,8.99999999999999,0.02,3.08797635272499,2.9464421498267,2.96558149744831
"41",0.07962,0.02,8.99999999999999,0.02,8.99999999999999,0.02,8.99999999999999,0.02,0.540682501923772,0.478623323206104,0.480694174870123
"42",0.07962,0.02,8.99999999999999,0.02,8.99999999999999,0.02,8.99999999999999,0.02,3.08888998909895,2.90277858706781,3.00833142383324
"43",0.2,0.02,0.818181818181818,0.02,8.99999999999999,0.02,8.99999999999999,0.02,0.519893045718378,0.48181029836765,0.498296655913972
"44",0.05024,0.02,8.99999999999999,0.02,0.818181818181818,0.02,0.818181818181818,0.02,0.516729261950486,0.497778485469332,0.485492252580182
"45",0.07962,0.02,8.99999999999999,0.02,8.99999999999999,0.02,8.99999999999999,0.02,0.511299906451587,0.490244496210144,0.498455597338269
"46",0.05024,0.02,0.818181818181818,0.02,0.818181818181818,0.02,0.818181818181818,0.02,0.270968923239848,0.27195303893212,0.27525985600985
"47",0.07962,0.02,8.99999999999999,0.02,8.99999999999999,0.02,8.99999999999999,0.02,0.276266913102351,0.261675976445902,0.280238928633566
"48",0.07962,0.02,8.99999999999999,0.02,8.99999999999999,0.02,8.99999999999999,0.02,2.99432908333687,2.9457377871681,3.05993312949502
"49",0.05024,0.0317,0.428571428571429,0.02,8.99999999999999,0.02,0.818181818181818,0.02,0.2578899033112,0.273248007525596,0.287043907345022
"50",0.12619,0.0317,8.99999999999999,0.02,8.99999999999999,0.02,8.99999999999999,0.02,0.481113722564301,0.491129491276839,0.52775678615886
"51",0.05024,0.02,0.818181818181818,0.05024,0.176470588235294,0.02,8.99999999999999,0.02,0.518903063621603,0.485362239916541,0.495734696461856
