"","FNR","FPR","FR","CNZ","INZ","MCC","FDR","BETA_MSE","BETA_BIAS","ACCURACY_val","AUC_val","loglike_val"
"Original","0.885(0.105)","0.046(0.047)","0.931(0.088)","1.730(1.575)","2.090(2.137)","0.148(0.136)","0.484(0.285)","0.026(0.011)","3.851(0.356)","0.733(0.048)","0.583(0.064)","-0.603(0.268)"
"prior1","0.873(0.122)","0.074(0.076)","0.948(0.101)","1.900(1.823)","3.350(3.436)","0.100(0.152)","0.585(0.280)","0.029(0.023)","3.854(0.318)","0.726(0.068)","0.574(0.062)","-0.704(0.845)"
"prior2","0.869(0.124)","0.059(0.062)","0.928(0.094)","1.970(1.856)","2.660(2.768)","0.142(0.134)","0.513(0.272)","0.026(0.011)","3.841(0.369)","0.726(0.055)","0.581(0.065)","-0.685(0.804)"
"prior3","0.850(0.136)","0.068(0.072)","0.918(0.108)","2.250(2.047)","3.040(3.260)","0.153(0.145)","0.511(0.278)","0.027(0.010)","3.857(0.381)","0.725(0.054)","0.583(0.062)","-0.672(0.797)"
"Our Method","0.837(0.158)","0.096(0.126)","0.933(0.100)","2.450(2.363)","4.330(5.657)","0.126(0.136)","0.547(0.266)","0.026(0.008)","3.818(0.368)","0.726(0.036)","0.579(0.064)","-0.585(0.039)"
