"","FNR","FPR","FR","CNZ","INZ","MCC","FDR","BETA_MSE","BETA_BIAS","ACCURACY_val","AUC_val","loglike_val"
"Original","0.862(0.124)","0.042(0.047)","0.904(0.096)","2.070(1.865)","2.740(3.077)","0.183(0.128)","0.531(0.260)","0.018(0.003)","3.725(0.355)","0.729(0.068)","0.594(0.071)","-0.664(0.803)"
"prior1","0.849(0.138)","0.055(0.064)","0.904(0.096)","2.260(2.068)","3.560(4.152)","0.176(0.122)","0.547(0.270)","0.020(0.019)","3.711(0.376)","0.708(0.114)","0.591(0.070)","-0.833(1.355)"
"prior2","0.851(0.133)","0.052(0.062)","0.903(0.100)","2.240(2.001)","3.400(4.000)","0.178(0.135)","0.544(0.270)","0.018(0.003)","3.696(0.361)","0.726(0.069)","0.593(0.071)","-0.681(0.835)"
"prior3","0.858(0.128)","0.048(0.055)","0.906(0.096)","2.130(1.921)","3.110(3.564)","0.176(0.131)","0.544(0.267)","0.021(0.020)","3.750(0.490)","0.727(0.069)","0.591(0.071)","-0.720(0.870)"
"Our Method","0.844(0.143)","0.055(0.063)","0.899(0.101)","2.340(2.152)","3.550(4.071)","0.178(0.126)","0.562(0.248)","0.018(0.003)","3.688(0.399)","0.713(0.104)","0.593(0.071)","-0.668(0.795)"
