"","FNR","FPR","FR","CNZ","INZ","MCC","FDR","BETA_MSE","BETA_BIAS","ACCURACY_val","AUC_val","loglike_val"
"Original","0.862(0.124)","0.042(0.047)","0.904(0.096)","2.070(1.865)","2.740(3.077)","0.183(0.128)","0.531(0.260)","0.018(0.003)","3.725(0.355)","0.729(0.068)","0.594(0.071)","-0.664(0.803)"
"prior1","0.563(0.192)","0.075(0.077)","0.638(0.179)","6.560(2.876)","4.870(4.976)","0.429(0.171)","0.338(0.238)","0.011(0.004)","2.805(0.578)","0.743(0.016)","0.682(0.045)","-0.538(0.023)"
"prior2","0.544(0.172)","0.081(0.079)","0.625(0.167)","6.840(2.577)","5.270(5.119)","0.434(0.173)","0.357(0.229)","0.010(0.004)","2.678(0.562)","0.743(0.016)","0.688(0.044)","-0.536(0.026)"
"prior3","0.543(0.181)","0.071(0.074)","0.613(0.174)","6.860(2.712)","4.590(4.787)","0.453(0.179)","0.330(0.230)","0.010(0.004)","2.649(0.606)","0.745(0.015)","0.690(0.042)","-0.535(0.022)"
"Our Method","0.471(0.163)","0.063(0.074)","0.534(0.173)","7.930(2.446)","4.090(4.812)","0.533(0.180)","0.262(0.224)","0.008(0.003)","2.469(0.517)","0.749(0.016)","0.704(0.032)","-0.525(0.020)"
