"","FNR","FPR","FR","CNZ","INZ","MCC","FDR","BETA_MSE","BETA_BIAS","ACCURACY_val","AUC_val","loglike_val"
"Original","0.888(0.100)","0.046(0.048)","0.934(0.083)","1.680(1.504)","2.072(2.157)","0.145(0.135)","0.484(0.290)","0.026(0.011)","3.854(0.358)","0.732(0.049)","0.582(0.064)","-0.604(0.272)"
"prior1","0.606(0.192)","0.108(0.101)","0.715(0.182)","5.907(2.876)","4.876(4.554)","0.355(0.192)","0.369(0.248)","0.016(0.008)","2.871(0.713)","0.740(0.016)","0.674(0.052)","-0.545(0.029)"
"prior2","0.579(0.199)","0.096(0.083)","0.675(0.191)","6.320(2.978)","4.330(3.721)","0.398(0.187)","0.354(0.219)","0.016(0.009)","2.849(0.714)","0.740(0.019)","0.673(0.056)","-0.544(0.032)"
"prior3","0.623(0.211)","0.095(0.090)","0.718(0.196)","5.649(3.162)","4.258(4.055)","0.361(0.196)","0.358(0.248)","0.017(0.009)","2.998(0.692)","0.740(0.019)","0.663(0.061)","-0.547(0.030)"
"Our Method","0.533(0.187)","0.100(0.097)","0.632(0.187)","7.010(2.801)","4.485(4.359)","0.437(0.190)","0.327(0.218)","0.014(0.008)","2.680(0.673)","0.744(0.016)","0.686(0.051)","-0.535(0.029)"
