"","FNR","FPR","FR","CNZ","INZ","MCC","FDR","BETA_MSE","BETA_BIAS","ACCURACY_val","AUC_val","loglike_val"
"Original","0.871(0.118)","0.045(0.048)","0.915(0.103)","1.939(1.766)","2.899(3.105)","0.163(0.151)","0.543(0.297)","0.018(0.003)","3.784(0.286)","0.733(0.055)","0.601(0.071)","-0.654(0.807)"
"prior1","0.615(0.176)","0.091(0.085)","0.706(0.158)","5.778(2.636)","5.899(5.521)","0.358(0.161)","0.398(0.247)","0.012(0.004)","2.905(0.554)","0.740(0.052)","0.680(0.038)","-0.621(0.812)"
"prior2","0.601(0.169)","0.081(0.081)","0.682(0.160)","5.990(2.541)","5.263(5.236)","0.390(0.163)","0.364(0.242)","0.012(0.005)","2.883(0.578)","0.744(0.015)","0.683(0.039)","-0.539(0.028)"
"prior3","0.591(0.196)","0.085(0.085)","0.677(0.175)","6.131(2.940)","5.545(5.513)","0.386(0.170)","0.385(0.228)","0.014(0.018)","2.849(0.668)","0.740(0.052)","0.682(0.048)","-0.643(0.843)"
"Our Method","0.537(0.180)","0.084(0.092)","0.621(0.178)","6.939(2.706)","5.434(6.009)","0.447(0.189)","0.337(0.251)","0.010(0.004)","2.662(0.600)","0.745(0.052)","0.694(0.042)","-0.611(0.813)"
