"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.10278,0.07368,0.176470588235294,0.10278,0,0.10278,0,0.10278,0,0,0
"2",0.10278,0.10278,0,0.10278,0,0.10278,0,0.10278,0,0,0
"3",0.10278,0.10278,0,0.10278,0,0.10278,0,0.10278,0,0,0
"4",0.10278,0.10278,0,0.10278,0,0.10278,0,0.10278,0,0,0
"5",0.14337,0.14337,0,0.14337,0,0.14337,0,0.14337,0,0,0
"6",0.10278,0.05282,0.428571428571429,0.10278,0,0.07368,0.176470588235294,0.05282,0.202755538609473,0.109361425954458,0.116454464007498
"7",0.07368,0.10278,0.176470588235294,0.03786,0.428571428571429,0.07368,0.176470588235294,0.03786,0.142839050331426,0.114668397732138,0.171063980507864
"8",0.10278,0.10278,0,0.10278,0,0.10278,0,0.10278,0,0,0
"9",0.07368,0.07368,0,0.07368,0,0.07368,0,0.07368,0,0,0
"10",0.14337,0.14337,0,0.14337,0,0.14337,0,0.14337,0,0,0
"11",0.10278,0.10278,0,0.03786,0.428571428571429,0.07368,0.176470588235294,0.07368,0.0918437475578885,0.0412758420283436,0.0433509986490621
"12",0.10278,0.10278,0,0.10278,0,0.10278,0,0.10278,0,0,0
"13",0.10278,0.10278,0,0.07368,0.176470588235294,0.10278,0,0.10278,0,0,0
"14",0.05282,0.03786,0.176470588235294,0.05282,0.176470588235294,0.05282,0,0.03786,0.0565405400051805,0.0879138965876145,0.032016151642499
"15",0.2,0.2,0,0.2,0,0.2,0,0.2,0,0,0
"16",0.10278,0.10278,0,0.10278,0,0.07368,0.176470588235294,0.10278,0,0,0
"17",0.07368,0.07368,0,0.07368,0.176470588235294,0.07368,0,0.07368,0,0,0
"18",0.10278,0.10278,0,0.07368,0.176470588235294,0.10278,0,0.10278,0,0,0
"19",0.07368,0.07368,0,0.07368,0,0.07368,0,0.07368,0,0,0
"20",0.05282,0.05282,0,0.05282,0.176470588235294,0.05282,0.176470588235294,0.05282,0,0,0
"21",0.05282,0.03786,0.176470588235294,0.05282,0,0.05282,0,0.03786,0.0754798662666189,0.0453051000168149,0.0556856219518604
"22",0.07368,0.07368,0.176470588235294,0.07368,0,0.05282,0.176470588235294,0.07368,0,0,0
"23",0.07368,0.03786,0.176470588235294,0.07368,0,0.03786,0.176470588235294,0.03786,0.083280941477506,0.0222031621753888,0.0709864845823993
"24",0.10278,0.10278,0,0.10278,0.176470588235294,0.10278,0,0.10278,0,0,0
"25",0.05282,0.05282,0,0.05282,0,0.05282,0,0.05282,0,0,0
"26",0.05282,0.05282,0,0.05282,0.176470588235294,0.05282,0,0.05282,0,0,0
"27",0.14337,0.14337,0,0.14337,0,0.14337,0,0.14337,0,0,0
"28",0.2,0.2,0,0.2,0,0.2,0,0.2,0,0,0
"29",0.07368,0.05282,0.176470588235294,0.05282,0.176470588235294,0.05282,0.176470588235294,0.05282,0.0544898806303034,0.0591542120837796,0.0628264955212112
"30",0.10278,0.10278,0.176470588235294,0.07368,0.176470588235294,0.10278,0.176470588235294,0.10278,0.0546896101219189,0.0339612929016306,0.0878196852117447
"31",0.05282,0.05282,0,0.05282,0,0.03786,0.176470588235294,0.05282,0,0,0
"32",0.10278,0.10278,0,0.10278,0,0.07368,0.176470588235294,0.10278,0,0,0
"33",0.07368,0.07368,0.176470588235294,0.10278,0.176470588235294,0.07368,0.176470588235294,0.05282,0.151470468346067,0.109502001440587,0.167598958784774
"34",0.03786,0.03786,0.176470588235294,0.03786,0.176470588235294,0.03786,0.176470588235294,0.03786,0.055926978544997,0.0471038220349794,0.0734397876553177
"35",0.14337,0.14337,0,0.14337,0,0.14337,0,0.2,0.081104644408943,0.0641862596706209,0.0311796841557302
"36",0.05282,0.03786,0.176470588235294,0.05282,0,0.02714,0.428571428571429,0.03786,0.0588990723926873,0.0283524633543006,0.0892190524883062
"37",0.05282,0.05282,0,0.05282,0,0.05282,0,0.05282,0,0,0
"38",0.05282,0.03786,0.428571428571429,0.05282,0.176470588235294,0.05282,0,0.05282,0.0717905834181544,0.0517899883310074,0.0528900164861323
"39",0.07368,0.07368,0,0.05282,0.176470588235294,0.07368,0,0.05282,0.0775732314208016,0.0407905979356019,0.0581067588788907
"40",0.2,0.2,0,0.2,0,0.2,0,0.2,0,0,0
"41",0.14337,0.2,0,0.2,0,0.2,0,0.14337,0,0,0
"42",0.07368,0.07368,0,0.03786,0.428571428571429,0.07368,0,0.05282,0.0455002042965297,0.0755296679487863,0.0554407159899781
"43",0.10278,0.10278,0,0.10278,0,0.10278,0,0.10278,0,0,0
"44",0.07368,0.05282,0.176470588235294,0.07368,0.176470588235294,0.05282,0.176470588235294,0.07368,0,0,0
"45",0.2,0.2,0,0.2,0,0.2,0,0.2,0,0,0
"46",0.10278,0.10278,0,0.10278,0,0.10278,0,0.10278,0,0,0
"47",0.07368,0.05282,0.176470588235294,0.07368,0,0.07368,0,0.07368,0,0,0
"48",0.07368,0.07368,0,0.02714,0.428571428571429,0.03786,0.176470588235294,0.03786,0.0734128572207623,0.0440148251518079,0.0590429058627239
"49",0.05282,0.05282,0.176470588235294,0.05282,0,0.05282,0,0.05282,0.053782715853501,0.0559582034561221,0.0667296689256711
"50",0.10278,0.10278,0,0.07368,0.176470588235294,0.10278,0.176470588235294,0.10278,0.0799153463316009,0.0360895552124792,0.060465686691214
"51",0.07368,0.03786,0.176470588235294,0.07368,0,0.05282,0.176470588235294,0.03786,0.0825522037680224,0.0511521041512285,0.0427662803160432
"52",0.05282,0.05282,0.176470588235294,0.05282,0.176470588235294,0.05282,0,0.05282,0,0,0
"53",0.05282,0.05282,0,0.05282,0.176470588235294,0.05282,0.176470588235294,0.03786,0.041449597260805,0.062490165481222,0.0725308254932672
"54",0.05282,0.03786,0.176470588235294,0.03786,0.176470588235294,0.03786,0.176470588235294,0.03786,0.0728853628191114,0.0374848586206835,0.0661003667954993
"55",0.05282,0.05282,0,0.05282,0.176470588235294,0.05282,0,0.05282,0,0,0
"56",0.05282,0.05282,0,0.02714,0.428571428571429,0.05282,0,0.03786,0.0506759813086572,0.0850269367922932,0.0407676701343437
"57",0.05282,0.05282,0,0.05282,0,0.05282,0.176470588235294,0.05282,0.0666143900861209,0.0623024450067623,0.0475537531424108
"58",0.07368,0.07368,0,0.07368,0,0.07368,0,0.07368,0,0,0
"59",0.07368,0.07368,0,0.07368,0,0.07368,0,0.07368,0,0,0
"60",0.10278,0.03786,0.428571428571429,0.10278,0,0.10278,0,0.05282,0.0911154422752583,0.0326080063871742,0.0527471395728616
"61",0.07368,0.07368,0,0.07368,0,0.07368,0.176470588235294,0.07368,0,0,0
"62",0.2,0.2,0,0.2,0,0.2,0,0.2,0,0,0
"63",0.10278,0.07368,0.176470588235294,0.10278,0,0.10278,0,0.10278,0,0,0
"64",0.10278,0.10278,0,0.10278,0,0.10278,0,0.10278,0,0,0
"65",0.07368,0.07368,0,0.07368,0,0.07368,0.176470588235294,0.07368,0,0,0
"66",0.07368,0.07368,0,0.07368,0,0.07368,0,0.07368,0,0,0
"67",0.10278,0.10278,0,0.10278,0,0.10278,0,0.10278,0,0,0
"68",0.10278,0.07368,0.176470588235294,0.07368,0.176470588235294,0.10278,0,0.10278,0,0,0
"69",0.2,0.2,0,0.2,0,0.2,0,0.2,0,0,0
"70",0.07368,0.07368,0,0.07368,0,0.07368,0,0.07368,0,0,0
"71",0.07368,0.07368,0,0.03786,0.176470588235294,0.07368,0,0.07368,0,0,0
"72",0.10278,0.10278,0,0.10278,0,0.10278,0,0.10278,0,0,0
"73",0.10278,0.07368,0.176470588235294,0.10278,0,0.10278,0,0.10278,0,0,0
"74",0.10278,0.10278,0,0.10278,0,0.10278,0,0.10278,0,0,0
"75",0.05282,0.03786,0.176470588235294,0.03786,0.176470588235294,0.03786,0.176470588235294,0.01946,0.151165892441515,0.138881041579841,0.138524494550073
"76",0.05282,0.05282,0.176470588235294,0.05282,0.176470588235294,0.03786,0.176470588235294,0.05282,0.0679563671595228,0.0589772711372648,0.0495369499385065
