"","FNR","FPR","FR","CNZ","INZ","MCC","FDR","BETA_MSE","BETA_BIAS","ACCURACY_val","AUC_val","loglike_val"
"Original","0.878(0.103)","0.053(0.061)","0.931(0.092)","1.830(1.538)","2.370(2.744)","0.142(0.152)","0.484(0.318)","0.027(0.008)","3.920(0.353)","0.736(0.021)","0.584(0.062)","-0.617(0.294)"
"prior1","0.853(0.113)","0.082(0.074)","0.934(0.104)","2.210(1.695)","3.680(3.348)","0.113(0.158)","0.560(0.299)","0.034(0.050)","3.899(0.362)","0.733(0.024)","0.581(0.060)","-0.681(0.484)"
"prior2","0.871(0.120)","0.062(0.074)","0.934(0.097)","1.930(1.799)","2.810(3.332)","0.134(0.154)","0.501(0.329)","0.030(0.032)","3.970(0.576)","0.716(0.085)","0.578(0.062)","-0.911(1.391)"
"prior3","0.843(0.132)","0.076(0.075)","0.919(0.108)","2.350(1.987)","3.400(3.367)","0.140(0.155)","0.534(0.281)","0.035(0.074)","3.999(0.895)","0.726(0.054)","0.583(0.061)","-0.733(0.870)"
"Our Method","0.840(0.131)","0.088(0.104)","0.928(0.104)","2.400(1.964)","3.970(4.702)","0.130(0.156)","0.537(0.282)","0.028(0.008)","3.894(0.378)","0.717(0.073)","0.582(0.058)","-0.744(0.965)"
