"","FNR","FPR","FR","CNZ","INZ","MCC","FDR","BETA_MSE","BETA_BIAS","ACCURACY_val","AUC_val","loglike_val"
"Original","0.878(0.103)","0.053(0.061)","0.931(0.092)","1.830(1.538)","2.370(2.744)","0.142(0.152)","0.484(0.318)","0.027(0.008)","3.920(0.353)","0.736(0.021)","0.584(0.062)","-0.617(0.294)"
"prior1","0.619(0.195)","0.140(0.087)","0.759(0.155)","5.710(2.921)","6.280(3.931)","0.272(0.147)","0.489(0.189)","0.018(0.011)","2.932(0.833)","0.733(0.024)","0.660(0.058)","-0.557(0.040)"
"prior2","0.623(0.193)","0.106(0.095)","0.729(0.167)","5.660(2.889)","4.780(4.256)","0.327(0.175)","0.396(0.234)","0.022(0.015)","3.201(0.711)","0.737(0.024)","0.661(0.053)","-0.561(0.055)"
"prior3","0.467(0.108)","0.060(0.056)","0.527(0.128)","8.000(1.621)","2.720(2.535)","0.542(0.139)","0.231(0.144)","0.064(0.060)","5.244(1.837)","0.706(0.036)","0.627(0.043)","-0.657(0.104)"
"prior4","0.471(0.114)","0.052(0.040)","0.522(0.125)","7.940(1.710)","2.320(1.803)","0.553(0.127)","0.214(0.123)","0.059(0.044)","5.110(1.381)","0.686(0.040)","0.590(0.039)","-0.675(0.093)"
"Our Method","0.433(0.142)","0.129(0.073)","0.562(0.172)","8.510(2.134)","5.810(3.302)","0.452(0.174)","0.389(0.147)","0.016(0.011)","2.729(0.624)","0.739(0.025)","0.684(0.032)","-0.546(0.045)"
