"","FNR","FPR","FR","CNZ","INZ","MCC","FDR","BETA_MSE","BETA_BIAS","ACCURACY_val","AUC_val","loglike_val"
"Original","0.867(0.101)","0.041(0.047)","0.909(0.092)","1.990(1.508)","2.680(3.025)","0.175(0.145)","0.521(0.266)","0.018(0.002)","3.800(0.283)","0.732(0.052)","0.602(0.068)","-0.579(0.123)"
"prior1","0.681(0.089)","0.035(0.036)","0.715(0.089)","4.790(1.328)","2.250(2.359)","0.405(0.112)","0.270(0.175)","0.020(0.006)","3.934(0.525)","0.731(0.021)","0.636(0.036)","-0.572(0.032)"
"prior2","0.675(0.097)","0.048(0.046)","0.723(0.094)","4.870(1.454)","3.130(2.967)","0.376(0.117)","0.331(0.193)","0.023(0.008)","4.143(0.665)","0.721(0.024)","0.609(0.045)","-0.584(0.033)"
"prior3","0.639(0.095)","0.043(0.040)","0.683(0.096)","5.410(1.429)","2.810(2.623)","0.421(0.113)","0.296(0.165)","0.019(0.007)","3.659(0.593)","0.718(0.026)","0.624(0.043)","-0.581(0.034)"
"Our Method","0.600(0.112)","0.055(0.050)","0.655(0.115)","6.000(1.682)","3.560(3.236)","0.432(0.136)","0.317(0.190)","0.016(0.004)","3.585(0.439)","0.738(0.016)","0.646(0.040)","-0.556(0.023)"
