"","FNR","FPR","FR","CNZ","INZ","MCC","FDR","BETA_MSE","BETA_BIAS","ACCURACY_val","AUC_val","loglike_val"
"Original","0.878(0.103)","0.053(0.061)","0.931(0.092)","1.830(1.538)","2.370(2.744)","0.142(0.152)","0.484(0.318)","0.027(0.008)","3.920(0.353)","0.736(0.021)","0.584(0.062)","-0.617(0.294)"
"prior1","0.619(0.195)","0.140(0.087)","0.759(0.155)","5.710(2.921)","6.280(3.931)","0.272(0.147)","0.489(0.189)","0.018(0.011)","2.932(0.833)","0.733(0.024)","0.660(0.058)","-0.557(0.040)"
"prior2","0.623(0.193)","0.106(0.095)","0.729(0.167)","5.660(2.889)","4.780(4.256)","0.327(0.175)","0.396(0.234)","0.022(0.015)","3.201(0.711)","0.737(0.024)","0.661(0.053)","-0.561(0.055)"
"prior3","0.740(0.188)","0.106(0.088)","0.846(0.147)","3.900(2.823)","4.770(3.977)","0.212(0.155)","0.485(0.240)","0.028(0.013)","3.803(0.525)","0.712(0.072)","0.603(0.059)","-0.672(0.777)"
"Our Method","0.511(0.213)","0.136(0.091)","0.648(0.202)","7.330(3.194)","6.140(4.085)","0.374(0.194)","0.433(0.197)","0.016(0.010)","2.801(0.727)","0.737(0.023)","0.674(0.050)","-0.550(0.037)"
