"","FNR","FPR","FR","CNZ","INZ","MCC","FDR","BETA_MSE","BETA_BIAS","ACCURACY_val","AUC_val","loglike_val"
"Original","0.872(0.118)","0.044(0.048)","0.916(0.103)","1.920(1.768)","2.870(3.103)","0.163(0.151)","0.543(0.297)","0.018(0.003)","3.786(0.286)","0.734(0.054)","0.600(0.071)","-0.653(0.803)"
"prior1","0.608(0.187)","0.104(0.078)","0.712(0.148)","5.880(2.808)","6.740(5.102)","0.328(0.123)","0.471(0.182)","0.012(0.005)","2.830(0.688)","0.742(0.016)","0.681(0.040)","-0.541(0.029)"
"prior2","0.595(0.190)","0.078(0.075)","0.673(0.168)","6.070(2.854)","5.040(4.851)","0.390(0.158)","0.392(0.212)","0.014(0.015)","3.001(0.526)","0.741(0.052)","0.676(0.045)","-0.624(0.809)"
"prior3","0.459(0.107)","0.041(0.041)","0.500(0.108)","8.120(1.610)","2.680(2.651)","0.579(0.111)","0.223(0.128)","0.025(0.011)","4.017(0.776)","0.730(0.022)","0.651(0.038)","-0.586(0.040)"
"prior4","0.430(0.091)","0.050(0.060)","0.480(0.100)","8.550(1.359)","3.230(3.879)","0.591(0.115)","0.228(0.150)","0.025(0.010)","4.069(0.801)","0.707(0.031)","0.618(0.045)","-0.603(0.041)"
"Our Method","0.369(0.111)","0.090(0.064)","0.459(0.131)","9.460(1.672)","5.820(4.179)","0.551(0.139)","0.349(0.149)","0.009(0.003)","2.489(0.359)","0.749(0.015)","0.698(0.027)","-0.528(0.020)"
