"","FNR","FPR","FR","CNZ","INZ","MCC","FDR","BETA_MSE","BETA_BIAS","ACCURACY_val","AUC_val","loglike_val"
"Original","0.891(0.092)","0.053(0.053)","0.944(0.081)","1.630(1.383)","2.380(2.386)","0.122(0.144)","0.535(0.296)","0.027(0.008)","3.893(0.284)","0.729(0.071)","0.580(0.066)","-0.730(1.039)"
"prior1","0.680(0.098)","0.057(0.058)","0.737(0.110)","4.800(1.463)","2.550(2.607)","0.364(0.141)","0.291(0.198)","0.036(0.016)","4.252(0.744)","0.732(0.022)","0.621(0.048)","-0.598(0.049)"
"prior2","0.667(0.080)","0.050(0.041)","0.717(0.088)","5.000(1.206)","2.250(1.844)","0.386(0.114)","0.277(0.165)","0.043(0.022)","4.741(1.003)","0.714(0.032)","0.593(0.040)","-0.617(0.056)"
"prior3","0.669(0.101)","0.059(0.057)","0.728(0.105)","4.970(1.514)","2.650(2.572)","0.366(0.134)","0.308(0.181)","0.037(0.018)","4.249(0.809)","0.714(0.033)","0.600(0.045)","-0.616(0.062)"
"Our Method","0.603(0.099)","0.071(0.056)","0.674(0.114)","5.960(1.490)","3.210(2.528)","0.405(0.141)","0.310(0.190)","0.025(0.008)","3.793(0.503)","0.737(0.019)","0.624(0.050)","-0.571(0.032)"
