"","FNR","FPR","FR","CNZ","INZ","MCC","FDR","BETA_MSE","BETA_BIAS","ACCURACY_val","AUC_val","loglike_val"
"Original","0.891(0.104)","0.044(0.052)","0.935(0.081)","1.630(1.555)","1.980(2.335)","0.150(0.137)","0.492(0.302)","0.025(0.004)","3.849(0.275)","0.724(0.084)","0.564(0.060)","-0.813(1.361)"
"prior1","0.659(0.096)","0.054(0.052)","0.713(0.101)","5.110(1.442)","2.430(2.332)","0.386(0.125)","0.278(0.174)","0.034(0.015)","4.168(0.630)","0.727(0.022)","0.616(0.041)","-0.598(0.051)"
"prior2","0.633(0.087)","0.054(0.051)","0.687(0.087)","5.500(1.307)","2.410(2.301)","0.414(0.106)","0.257(0.165)","0.037(0.015)","4.444(0.798)","0.714(0.032)","0.584(0.044)","-0.615(0.052)"
"prior3","0.641(0.084)","0.046(0.039)","0.688(0.079)","5.380(1.262)","2.090(1.747)","0.417(0.094)","0.251(0.141)","0.034(0.015)","4.077(0.715)","0.712(0.034)","0.606(0.045)","-0.614(0.058)"
"Our Method","0.563(0.122)","0.076(0.061)","0.639(0.143)","6.550(1.828)","3.400(2.741)","0.430(0.163)","0.312(0.181)","0.024(0.007)","3.708(0.476)","0.734(0.022)","0.618(0.046)","-0.571(0.032)"
