"","FNR","FPR","FR","CNZ","INZ","MCC","FDR","BETA_MSE","BETA_BIAS","ACCURACY_val","AUC_val","loglike_val"
"Original","0.872(0.118)","0.044(0.048)","0.916(0.103)","1.920(1.768)","2.870(3.103)","0.163(0.151)","0.543(0.297)","0.018(0.003)","3.786(0.286)","0.734(0.054)","0.600(0.071)","-0.653(0.803)"
"prior1","0.858(0.126)","0.056(0.060)","0.914(0.104)","2.130(1.889)","3.620(3.884)","0.157(0.146)","0.556(0.296)","0.018(0.003)","3.784(0.291)","0.727(0.073)","0.598(0.070)","-0.664(0.805)"
"prior2","0.845(0.131)","0.061(0.065)","0.906(0.111)","2.320(1.964)","3.950(4.193)","0.163(0.156)","0.564(0.286)","0.023(0.045)","3.845(1.000)","0.729(0.071)","0.606(0.069)","-0.685(0.841)"
"prior3","0.853(0.132)","0.059(0.065)","0.912(0.104)","2.210(1.981)","3.830(4.226)","0.159(0.146)","0.554(0.298)","0.019(0.003)","3.768(0.280)","0.724(0.085)","0.602(0.068)","-0.671(0.801)"
"Our Method","0.846(0.135)","0.063(0.071)","0.909(0.102)","2.310(2.024)","4.120(4.593)","0.160(0.142)","0.557(0.292)","0.018(0.003)","3.759(0.296)","0.724(0.085)","0.601(0.069)","-0.733(1.125)"
